EventName,StartDate,EventType,BookingReference,AttendeeReference,GroupSize,IsLeadAttendee,AttendeeGrossCost,EventId,BookingStatus,AttendeeType,TicketType,StatusCreatedDate,ClientId
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452158,A502856,2,TRUE,27,12445,Attending,Graduand,PM Ceremony ,26/10/2017 10:12,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452158,A502857,2,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:12,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452162,A502861,3,TRUE,0,12445,Attending,Graduand,PM Ceremony ,26/10/2017 10:16,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452162,A502862,3,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:16,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452162,A502863,3,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:16,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452165,A502868,3,TRUE,0,12445,Attending,Graduand,PM Ceremony ,26/10/2017 10:21,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452165,A502869,3,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:21,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452165,A502870,3,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:21,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452167,A502872,2,TRUE,0,12445,Attending,Graduand,AM Ceremony,26/10/2017 10:22,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452167,A502873,2,FALSE,50,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 10:22,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452172,A502878,1,TRUE,27,12445,Attending,Graduand,AM Ceremony,26/10/2017 10:36,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452172,A502879,1,FALSE,0,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 10:36,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452172,A502880,1,FALSE,0,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 10:36,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452172,A502881,1,FALSE,0,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 10:36,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452174,A502883,1,TRUE,0,12445,Attending,Graduand,PM Ceremony ,26/10/2017 10:39,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452175,A502884,1,TRUE,0,12445,Attending,Graduand,PM Ceremony ,26/10/2017 10:42,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452176,A502885,1,TRUE,0,12445,Attending,Graduand,AM Ceremony,26/10/2017 10:45,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452177,A502886,1,TRUE,0,12445,Attending,Graduand,PM Ceremony ,26/10/2017 10:46,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452179,A502888,1,TRUE,75,12445,Attending,Graduand,PM Ceremony ,26/10/2017 10:46,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452179,A502889,1,FALSE,0,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:46,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452179,A502890,1,FALSE,0,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:46,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452180,A502891,2,TRUE,0,12445,Attending,Graduand,PM Ceremony ,26/10/2017 10:47,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452180,A502892,2,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:47,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452181,A502893,2,TRUE,75,12445,Attending,Graduand,AM Ceremony,26/10/2017 10:47,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452181,A502894,2,FALSE,125,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 10:47,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452184,A502897,1,TRUE,0,12445,Attending,Graduand,PM Ceremony ,26/10/2017 10:52,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452179,A502902,1,FALSE,0,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:55,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452179,A502903,1,FALSE,0,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:55,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452189,A502904,5,TRUE,27,12445,Attending,Graduand,PM Ceremony ,26/10/2017 10:59,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452189,A502905,5,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:59,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452189,A502906,5,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:59,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452189,A502907,5,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:59,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452189,A502908,5,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 10:59,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452191,A502910,2,TRUE,0,12445,Attending,Graduand,AM Ceremony,26/10/2017 11:08,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452191,A502911,2,FALSE,0,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:08,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452192,A502912,5,TRUE,27,12445,Attending,Graduand,AM Ceremony,26/10/2017 11:10,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452192,A502913,5,FALSE,50,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:10,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452192,A502914,5,FALSE,50,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:10,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452192,A502915,5,FALSE,50,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:10,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452192,A502916,5,FALSE,50,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:10,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452193,A502917,8,TRUE,102,12445,Attending,Graduand,AM Ceremony,26/10/2017 11:11,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452193,A502918,8,FALSE,125,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:11,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452193,A502919,8,FALSE,125,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:11,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452193,A502920,8,FALSE,125,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:11,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452193,A502921,8,FALSE,125,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:11,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452193,A502922,8,FALSE,125,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:11,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452193,A502923,8,FALSE,125,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:11,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452194,A502924,0,TRUE,0,12445,Cancelled,Graduand,AM Ceremony,26/10/2017 11:11,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452194,A502925,0,FALSE,0,12445,Cancelled,Guest,Guest AM Ceremony,26/10/2017 11:12,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452195,A502926,2,TRUE,0,12445,Attending,Graduand,AM Ceremony,26/10/2017 11:12,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452195,A502927,2,FALSE,50,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:12,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452197,A502930,2,TRUE,27,12445,Attending,Graduand,AM Ceremony,26/10/2017 11:13,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452197,A502931,2,FALSE,50,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:13,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452201,A502936,3,TRUE,0,12445,Attending,Graduand,PM Ceremony ,26/10/2017 11:17,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452201,A502937,3,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 11:17,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452201,A502938,3,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 11:17,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452203,A502940,3,TRUE,0,12445,Attending,Graduand,PM Ceremony ,26/10/2017 11:20,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452203,A502941,3,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 11:20,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452203,A502942,3,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 11:20,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452204,A502943,3,TRUE,0,12445,Attending,Graduand,PM Ceremony ,26/10/2017 11:22,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452204,A502944,3,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 11:22,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452204,A502945,3,FALSE,50,12445,Attending,Guest,Guest PM Ceremony,26/10/2017 11:22,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452206,A502947,4,TRUE,27,12445,Attending,Graduand,AM Ceremony,26/10/2017 11:24,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452206,A502948,4,FALSE,50,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:24,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452206,A502949,4,FALSE,50,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:24,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452206,A502950,4,FALSE,50,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:24,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452210,A502954,5,TRUE,102,12445,Attending,Graduand,AM Ceremony,26/10/2017 11:25,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452210,A502955,5,FALSE,125,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:25,249
University of London International Programmes 2018 Graduation Ceremony ,06/03/2018 00:00,,B452210,A502956,5,FALSE,50,12445,Attending,Guest,Guest AM Ceremony,26/10/2017 11:25,249
